corner,start,end,center,mds1,mds2
1,28219358,28223195,28221276,0.25644038162949523,-0.2665538135508782
1,28002561,28006313,28004437,0.13441159429180735,-0.30985920750671353
1,28251605,28256546,28254075,0.23325301874633633,-0.25425161463579615
1,28063442,28067014,28065228,0.12349810395263341,-0.29857552706350177
1,28241147,28244795,28242971,0.22269657226643902,-0.2506735884816559
1,28043022,28046931,28044976,0.1273229984287799,-0.29142162012939793
1,28164928,28170631,28167779,0.1770712886128179,-0.2606649759310876
1,28028111,28031765,28029938,0.11652684796978482,-0.29040276040799146
1,28234134,28241143,28237638,0.24178564706052083,-0.23293774723641275
1,28035500,28039289,28037394,0.10657835891572807,-0.2861811724099989
1,27975740,27979172,27977456,0.12290816432127077,-0.2671587312509941
1,28013383,28017170,28015276,0.08932897143254322,-0.2739719193038614
1,28009706,28013382,28011544,0.09131986701551688,-0.24993665531446843
1,27990280,27993691,27991985,0.10400934525341841,-0.2393192253025204
1,28020779,28024351,28022565,0.08819070674308754,-0.250088564817943
1,27998978,28002559,28000768,0.10090657233042573,-0.23988218973216685
1,27972333,27975739,27974036,0.0899096577571989,-0.24483004296411912
1,27979173,27983194,27981183,0.07607656893122432,-0.24841173124152552
1,28059724,28063438,28061581,0.0917856593818003,-0.23496666924165738
1,27993697,27998976,27996336,0.0628569421734992,-0.20904159169097408
1,27875072,27878574,27876823,0.08337566804576317,-0.1937527665860435
1,27918202,27921629,27919915,0.09184445271567104,-0.18809656948743345
1,27963460,27968983,27966221,0.059785110667555624,-0.20087789684224852
1,27983212,27986772,27984992,0.07218063171091636,-0.18116445071498147
1,27871632,27875071,27873351,0.06695231937443423,-0.1813334573922521
1,27925780,27929165,27927472,0.07218510340508279,-0.17361411791736328
1,27955854,27959299,27957576,0.05697876700890649,-0.1832167707389025
1,27959307,27963459,27961383,0.0642093641368153,-0.17680647796095034
1,27968986,27972332,27970659,0.06803030638220174,-0.17435420846123265
1,27896179,27899632,27897905,0.06672879002911762,-0.165505609305136
1,28256551,28260146,28258348,0.28866514284712635,-0.09709888864155575
1,28265402,28269556,28267479,0.33023010292375027,-0.1003340678842185
1,27899635,27903072,27901353,0.048884747616305554,-0.15914518991905457
1,27933166,27936778,27934972,0.056405709057079215,-0.15184193706056306
1,28260147,28265401,28262774,0.32434855743780916,-0.090597940817519
1,28285037,28289997,28287517,0.2883394391844159,-0.08392550332095
1,27986774,27990274,27988524,0.04946956585433545,-0.1489570483041119
1,28280069,28285036,28282552,0.31706252057844514,-0.07457414240987818
1,28304522,28308603,28306562,0.23875865567245894,-0.07372652377047077
1,27940476,27944229,27942352,0.04060780030393561,-0.13959580501226282
1,27929170,27933161,27931165,0.056854392072230205,-0.12838468587765206
1,28294223,28300827,28297525,0.3033588417476827,-0.06838902764421285
1,28024365,28028100,28026232,0.04193213400118619,-0.1335955076482932
1,27936780,27940475,27938627,0.046226470898620906,-0.12660048789956319
1,27947476,27952196,27949836,0.034944130476439066,-0.12972317399837452
1,27853666,27857795,27855730,0.03485370299864177,-0.12442786263822452
1,27903076,27907768,27905422,0.04479431310828264,-0.11802917919720264
1,27889283,27892851,27891067,0.036145007394552224,-0.12019091870984389
1,28300838,28304516,28302677,0.2913562847366678,-0.05048617386012562
1,28312702,28316719,28314710,0.3173878156307868,-0.052108741266459174
1,27911176,27914608,27912892,0.045923012310306065,-0.11041522243398348
1,27868223,27871629,27869926,0.045668995329940114,-0.11049740826443741
1,27907770,27911165,27909467,0.04218284266035609,-0.11154096931123557
1,28290002,28294216,28292109,0.25986702427820774,-0.04665251369453067
1,27885844,27889282,27887563,0.04096086901103778,-0.10642073348385422
1,27944232,27947475,27945853,0.0409047089533355,-0.10644488507594138
1,27878575,27882232,27880403,0.051269856579515806,-0.09857401759792404
1,28269562,28280061,28274811,0.3772808007605196,-0.04062920757958706
1,28308620,28312697,28310658,0.3221209127841725,-0.029561468207818593
1,27952198,27955850,27954024,0.042031570241476496,-0.08337895091804332
1,27857811,27861291,27859551,0.02286804986106009,-0.08127235046775702
1,27892854,27896177,27894515,0.03971866279943822,-0.07006668637344347
1,28316721,28321829,28319275,0.32290813024083664,-0.011272501897397688
1,27846995,27850214,27848604,0.022021621231050923,-0.07319048609033757
1,27864741,27868219,27866480,0.015517579144287405,-0.075963984041049
1,27921633,27925779,27923706,0.019608226556499655,-0.0729315359452889
1,27850216,27853663,27851939,0.016286230366007425,-0.0748766943508438
1,27882233,27885838,27884035,0.015581189349007762,-0.07333112563652883
2,28388481,28392579,28390530,0.6029147641638307,0.2136816054180172
2,28411466,28415422,28413444,0.5633968259941069,0.20650022784551117
2,28382713,28388480,28385596,0.5574952109702366,0.20493171876337757
2,28369474,28373555,28371514,0.565043171684775,0.1869457650440857
2,28365163,28369472,28367317,0.5614819516469752,0.18529555904833997
2,28377330,28382705,28380017,0.5448662777471747,0.19554774662039215
2,28361262,28365161,28363211,0.5578651088815049,0.15789270144831052
2,28352787,28357256,28355021,0.5510306548549847,0.14778702055934181
2,28338186,28342433,28340309,0.5594027983602619,0.14127619659222568
2,28373562,28377327,28375444,0.5162716939802644,0.1754926847791282
2,28431690,28435943,28433816,0.5084909972552067,0.22239407480470585
2,28448423,28452586,28450504,0.4941314654883355,0.24515797492202235
2,28401521,28405687,28403604,0.4927693439485323,0.17992241994076574
2,28457155,28461256,28459205,0.49319406928416426,0.2565415713154575
2,28444186,28448422,28446304,0.4862417005507306,0.23190529521064426
2,28452588,28457145,28454866,0.49072444313406327,0.25362380869612944
2,28465020,28469052,28467036,0.48754926608362675,0.24985722353118764
2,28427690,28431677,28429683,0.47903656751698453,0.2172292136784127
2,28349126,28352785,28350955,0.5078328499718346,0.1285638468229506
2,28397017,28401520,28399268,0.4768697319660386,0.17553291801173238
2,28329744,28333745,28331744,0.5176416865199382,0.10475913452723289
2,28405688,28411465,28408576,0.47159257680574995,0.16472447528491446
2,28333750,28338181,28335965,0.502807663781084,0.10971886548353005
2,28420898,28427687,28424292,0.4580361908636479,0.1852296132945218
2,28435948,28439868,28437908,0.45289043878170904,0.21046563679378125
2,28392584,28397016,28394800,0.45344272784940187,0.16140072646940262
2,28342436,28349125,28345780,0.4650374805301053,0.13272702563492914
2,28485774,28491326,28488550,0.44617677429213204,0.2780308878897918
2,28461258,28465013,28463135,0.43246020745325287,0.22126747136120428
2,28415429,28420897,28418163,0.43355115832792523,0.1839676610163887
2,28357259,28361261,28359260,0.4479325828854711,0.11937221852683412
2,28439872,28444184,28442028,0.41580134001306907,0.2022501860373885
2,28473318,28477907,28475612,0.41879011223905444,0.2501125395843429
2,28481741,28485765,28483753,0.4132454292380293,0.24533723963816195
2,28326091,28329739,28327915,0.44658048523113586,0.09953246318102614
2,28477910,28481740,28479825,0.4070343961247914,0.25095472847555694
2,28469053,28473316,28471184,0.4005877122401312,0.21461240839109189
2,28491328,28497695,28494511,0.40630036168201505,0.2622202908359802
2,28517250,28522558,28519904,0.3773288349602023,0.26420688056834807
2,28507129,28517247,28512188,0.35929106823360407,0.24883968480275664
2,28503025,28507123,28505074,0.3582615175878873,0.2563271939070295
2,28497706,28503019,28500362,0.3529730195229295,0.23617975478336162
2,28522564,28526861,28524712,0.3399555065974439,0.25370135597714083
2,28530995,28536317,28533656,0.3383399897696884,0.25113898632695697
2,28536319,28547727,28542023,0.33424884582554953,0.25595625049552895
2,28321836,28326084,28323960,0.3781308321963275,0.05321752971970813
2,28526865,28530993,28528929,0.30762858968426715,0.2307053871499747
2,28552407,28556568,28554487,0.29157617756202575,0.22957876489699483
2,28565541,28569870,28567705,0.2872401439658406,0.23190656067000037
2,28556570,28560846,28558708,0.2843547193117786,0.22291210956585816
2,28569872,28574594,28572233,0.28207088148590076,0.2276173449442192
2,28547730,28552405,28550067,0.2791805940689089,0.22309108425391425
2,28269562,28280061,28274811,0.3772808007605196,-0.04062920757958706
2,28560850,28565539,28563194,0.26222923930441433,0.2086914331870395
2,28316721,28321829,28319275,0.32290813024083664,-0.011272501897397688
2,28308620,28312697,28310658,0.3221209127841725,-0.029561468207818593
2,28312702,28316719,28314710,0.3173878156307868,-0.052108741266459174
2,28280069,28285036,28282552,0.31706252057844514,-0.07457414240987818
2,28300838,28304516,28302677,0.2913562847366678,-0.05048617386012562
2,28294223,28300827,28297525,0.3033588417476827,-0.06838902764421285
2,28260147,28265401,28262774,0.32434855743780916,-0.090597940817519
2,28265402,28269556,28267479,0.33023010292375027,-0.1003340678842185
2,28590097,28595126,28592611,0.17961754694699772,0.15267906280195268
2,28574599,28580111,28577355,0.1795828613257212,0.1526064407857016
2,28290002,28294216,28292109,0.25986702427820774,-0.04665251369453067
2,28285037,28289997,28287517,0.2883394391844159,-0.08392550332095
2,28580119,28585127,28582623,0.16764508153681257,0.15110654397840106
2,28256551,28260146,28258348,0.28866514284712635,-0.09709888864155575
2,28595127,28599333,28597230,0.16593805296544503,0.141619521858503
2,28585134,28590095,28587614,0.16099414251969774,0.1446870078438636
2,28304522,28308603,28306562,0.23875865567245894,-0.07372652377047077
2,28608310,28613535,28610922,0.10477401455757086,0.09626286696423789
2,28646797,28652212,28649504,0.08866203578520983,0.09566170249296252
2,28633293,28637523,28635408,0.08460324153772004,0.10047545620427818
2,28613542,28618577,28616059,0.08656972947233028,0.08321576046732998
2,28618580,28624132,28621356,0.08148978914442565,0.09686372287535362
2,28637524,28642246,28639885,0.07918663956403532,0.07112733814049321
2,28599346,28603880,28601613,0.07328184096759728,0.08657984077013334
2,28603883,28608309,28606096,0.0696104557352331,0.08042704224831321
2,28624135,28628829,28626482,0.06806465406519696,0.07698201207334968
2,28652215,28657263,28654739,0.06723605235782147,0.07709301352425604
2,28628830,28633292,28631061,0.06695919353776376,0.0656979273950184
2,28642249,28646796,28644522,0.0632342374345436,0.06648088691197167
2,28666503,28671148,28668825,0.05517322908421752,0.07429108733385145
2,28661466,28666500,28663983,0.05505213350057906,0.06783662727709389
2,28724446,28728404,28726425,0.05279785187616292,0.06132131981780063
2,28657267,28661462,28659364,0.05027319602576729,0.07025235118927603
2,28675546,28681795,28678670,0.051190462260693056,0.06467555663027492
2,28234134,28241143,28237638,0.24178564706052083,-0.23293774723641275
2,28671154,28675536,28673345,0.04710315634155943,0.055933302752588544
2,28696965,28701265,28699115,0.040677613502225374,0.05405017654794265
2,28681804,28687983,28684893,0.039745704510641,0.05677614429129197
2,28720135,28724443,28722289,0.04262070190189788,0.043566419378683385
2,28687988,28692545,28690266,0.03586726014102348,0.05797247624994229
2,28244796,28251604,28248200,0.27464213181470265,-0.2768852127428763
2,28692547,28696964,28694755,0.03302163934484393,0.05416287774837154
2,28763851,28768122,28765986,0.03713634803919481,0.039612736083265154
2,28219358,28223195,28221276,0.25644038162949523,-0.2665538135508782
2,28715654,28720134,28717894,0.03600359611063812,0.03563699364479906
2,28737235,28742681,28739958,0.0350807713747722,0.038467634617119155
2,28709781,28715653,28712717,0.03123207145634738,0.04863624930621474
2,28251605,28256546,28254075,0.23325301874633633,-0.25425161463579615
2,28241147,28244795,28242971,0.22269657226643902,-0.2506735884816559
2,45131291,45135286,45133288,0.039689346460322135,0.0051545064405996
2,28705513,28709777,28707645,0.028406589656656742,0.03327194847523241
2,4638223,4641457,4639840,0.03175465025924807,0.021821520131429226
2,4673888,4677077,4675482,0.03677651280119782,0.004041368472715797
2,28788745,28792652,28790698,0.02798144547594055,0.024800282859464194
2,28732629,28737234,28734931,0.027103976777648357,0.02723033709586438
3,31641952,31645667,31643809,-0.03368349782528607,0.07734954839572668
3,31592219,31598549,31595384,-0.027855977377920976,0.07526470844608557
3,31638506,31641951,31640228,-0.02694769480472887,0.0765141228596272
3,31627355,31631279,31629317,-0.028681749595629073,0.07145384401972345
3,31472762,31476201,31474481,-0.02823813959138243,0.07129226313765342
3,31605433,31612937,31609185,-0.02701988732251773,0.08295026953467222
3,31711299,31721086,31716192,-0.027141680060176532,0.07044584116972145
3,31558015,31561673,31559844,-0.029867958006785652,0.06746221940584243
3,31479596,31483779,31481687,-0.02553680999240973,0.07005902031381392
3,31631285,31635187,31633236,-0.02413119805721502,0.07191070556164432
3,31612939,31616258,31614598,-0.02731133343848797,0.06748939755125336
3,31469104,31472761,31470932,-0.0262742277412842,0.06548343540711211
3,31724352,31727690,31726021,-0.03276762654825091,0.0631430169543519
3,31561674,31565454,31563564,-0.027367308676330346,0.06032149936251707
3,31535179,31538820,31536999,-0.028020054726332528,0.05960141996493958
3,31565456,31569657,31567556,-0.024240819446114368,0.06048427620997961
3,31623512,31627354,31625433,-0.017982345252428852,0.06551026061997978
3,31620045,31623504,31621774,-0.02160150874638974,0.06161506699303659
3,31698508,31703155,31700831,-0.029194884797280524,0.05802502949047373
3,31584519,31588518,31586518,-0.025588666011773394,0.05859358863038733
3,31465338,31469102,31467220,-0.02635622852374889,0.05805645139768393
3,31546463,31558014,31552238,-0.022435761804510863,0.059430766280179737
3,31721088,31724349,31722718,-0.0307352467593603,0.055984385785044076
3,31531484,31535177,31533330,-0.024110789483076107,0.05629798282205434
3,31429710,31433506,31431608,-0.02030772094982148,0.058234627538305744
3,31580545,31584513,31582529,-0.02012814680145931,0.05822343918986158
3,31645669,31649467,31647568,-0.018189899128411915,0.056793488300541047
3,31524315,31527716,31526015,-0.012870988635737674,0.06177836004972426
3,31527721,31531479,31529600,-0.020026335627154845,0.05492951585150387
3,31860603,31863982,31862292,-0.024057884196733863,0.05291637952464252
3,31487306,31490937,31489121,-0.01812660657313015,0.056048673756551086
3,31834026,31860594,31847310,-0.02066830709670505,0.05409091058415076
3,31509834,31513487,31511660,-0.01740348267729133,0.05565861465981731
3,31476204,31479590,31477897,-0.021295268547992956,0.053132014171636835
3,31598553,31605431,31601992,-0.017997853759094247,0.054478305258077175
3,31871839,31907292,31889565,-0.02341005796560566,0.051424158115459945
3,31671907,31675306,31673606,-0.024080140629462204,0.050059378197414704
3,31395794,31399309,31397551,-0.02642890479496265,0.04897845889381246
3,31378812,31382257,31380534,-0.023458895806112347,0.04979480289474686
3,31668686,31671905,31670295,-0.02574670080570911,0.048602808969901476
3,31665115,31668685,31666900,-0.021663258119490682,0.04986293223704264
3,31513491,31516977,31515234,-0.022695327561725428,0.049432616295343665
3,31635195,31638504,31636849,-0.02580785278234248,0.048185388876915175
3,31588519,31592211,31590365,-0.024093636346942098,0.04846282330378872
3,31516979,31520836,31518907,-0.022942310900082925,0.04789613092148858
3,31403796,31407362,31405579,-0.019081449261883262,0.04538695983303569
3,31784176,31811752,31797964,-0.02071447977912895,0.044684833266582985
3,31520838,31524311,31522574,-0.016675201129116333,0.04576379229114816
3,31538824,31542648,31540736,-0.018297041715891086,0.044539122405571105
3,31863984,31867918,31865951,-0.02091909806860071,0.04337152488136876
3,31727691,31730960,31729325,-0.022238559022511088,0.042716746237079196
3,31573292,31576911,31575101,-0.016150749597006676,0.04492846324665513
3,31490941,31494956,31492948,-0.0159613827150398,0.04445997899789099
3,31457952,31461862,31459907,-0.01670051315853027,0.043446581632262025
3,31867919,31871837,31869878,-0.014153487643391676,0.04300764436767998
3,31426241,31429709,31427975,-0.02064542265667069,0.04000102730668606
3,31706573,31711293,31708933,-0.01685904566607504,0.04141346475158425
3,31433518,31439127,31436322,-0.020486048983038706,0.039900476028974965
3,31439130,31443562,31441346,-0.014232605720007539,0.04215207997507851
3,31734342,31737913,31736127,-0.0192492363470296,0.039223049201124495
3,31682924,31698502,31690713,-0.01961973399147734,0.037886020398439246
3,31576915,31580542,31578728,-0.019932439445929793,0.037737033284929465
3,31483783,31487304,31485543,-0.015044633500220521,0.03922926095927898
3,31443564,31448245,31445904,-0.020273503138058032,0.03541222048884007
3,31410770,31414882,31412826,-0.016608464839580277,0.03582844823482617
3,31660778,31665114,31662946,-0.017449840649362593,0.03468441670400516
3,31388954,31392359,31390656,-0.007653132283837217,0.03914911212565168
3,31653654,31657209,31655431,-0.007952758386622691,0.03856646824433467
3,31616261,31620037,31618149,-0.012865818688408201,0.034528753275473154
3,31830770,31834022,31832396,-0.0026214990783608853,0.04091650584298631
3,31775386,31784171,31779778,-0.012413851437156957,0.033911750876284084
3,31506011,31509830,31507920,-0.008680445618342079,0.03536404949448038
3,31422782,31426240,31424511,-0.012813902373305817,0.03154142794627675
3,32021901,32025221,32023561,-0.008362232333761658,0.03281304317110422
3,31448247,31453249,31450748,-0.014882944733811356,0.02958300951419742
3,31399310,31403795,31401552,-0.017161020845174978,0.027826841887277808
3,31822819,31827453,31825136,-0.009982655879748685,0.030413605506168635
3,31542649,31546461,31544555,-0.015182520076707852,0.02767582625398437
3,31407370,31410767,31409068,-0.01814065813692563,0.026258033990642658
3,31375395,31378805,31377100,-0.015385956962818394,0.027018141598701587
3,31930746,31934664,31932705,-0.017085778993040687,0.026106424306737715
3,31461863,31465335,31463599,-0.014871701176465283,0.026841744736326185
3,31741833,31760492,31751162,-0.00704462832281402,0.03030322036556934
3,31657212,31660777,31658994,-0.010730491341513066,0.028343827781756318
3,31764349,31768669,31766509,-0.014681814286611649,0.026457083633134204
3,31955018,31958470,31956744,-0.01455181315377542,0.02648093773127423
3,32002262,32005533,32003897,-0.007967808718129498,0.027914184574325988
3,31353129,31356471,31354800,-0.015342734679287304,0.024461162572154676
3,31999080,32002259,32000669,-0.016735366146931337,0.023329098504693446
3,32005537,32008872,32007204,-0.007431159025086929,0.026344263509517733
3,31907294,31930745,31919019,-0.012189878768005178,0.02377682318054423
3,31968696,31972031,31970363,-0.017053656609519224,0.022047263656099155
3,31978451,31981646,31980048,-0.018126731513368848,0.020858828962372653
3,31371871,31375393,31373632,-0.013650820130226584,0.02170190971459447
3,31675308,31679269,31677288,-0.015687232123331635,0.020912113161140156
3,31975277,31978443,31976860,-0.014825995845569121,0.021078293247117314
3,32088681,32093413,32091047,-0.014692082121205055,0.020773069328436332
3,31494960,31506009,31500484,-0.0005222459452021514,0.027275910843762855
3,31942284,31951403,31946843,-0.008469923073468106,0.02263712245136401
3,31569660,31573291,31571475,-0.003527016400209859,0.024382054233698942
3,32093418,32096701,32095059,-0.012185272389947342,0.0199501510933628
3,31737914,31741831,31739872,-0.009530897844377703,0.020873183149563292
3,31418410,31422781,31420595,-0.012415212133488498,0.01963981471853128
3,31827461,31830764,31829112,-0.013992220853542042,0.018386767177742746
3,32066369,32069839,32068104,-0.015443249132724603,0.016964042879513794
3,31679271,31682923,31681097,-0.015056206645497443,0.01704189360957816
3,31356473,31359885,31358179,-0.011772148918119594,0.017554710147122888
3,32045280,32048884,32047082,-0.012131787603209486,0.017347575917397665
3,31345670,31349098,31347384,-0.014462043503027778,0.016489307166035486
